agency,programme,constellation,mission,platform,platform_code,instrument,sensor,campaign,cospar,nssdca,fullName,shortName,acronym,mnemonic,flat_id,hierarchical_id,band_code,band_common,flat_id_band,hierarchical_id_band
JAXA,ALOS,ALOS-2,ALOS-2,ALOS-2,,PALSAR-2,PALSAR-2,,2014-029A,2014-029A,JAXA ALOS-2 PALSAR-2,ALOS-2-PALSAR-2,A2_P2,ALOSPAL,JAXA-ALOS2-PALSAR2,A_JAXA-M_ALOS2-I_PALSAR2,LBAND,l_band,JAXA-ALOS2-PALSAR2-LBAND,A_JAXA-M_ALOS2-I_PALSAR2-B_LBAND
JAXA,ALOS,ALOS-2,ALOS-2,ALOS-2,,PALSAR-2,PALSAR-2,,2014-029A,2014-029A,JAXA ALOS-2 PALSAR-2,ALOS-2-PALSAR-2,A2_P2,ALOSPAL,JAXA-ALOS2-PALSAR2,A_JAXA-M_ALOS2-I_PALSAR2,HH,hh_pol,JAXA-ALOS2-PALSAR2-HH,A_JAXA-M_ALOS2-I_PALSAR2-B_HH
JAXA,ALOS,ALOS-2,ALOS-2,ALOS-2,,PALSAR-2,PALSAR-2,,2014-029A,2014-029A,JAXA ALOS-2 PALSAR-2,ALOS-2-PALSAR-2,A2_P2,ALOSPAL,JAXA-ALOS2-PALSAR2,A_JAXA-M_ALOS2-I_PALSAR2,HV,hv_pol,JAXA-ALOS2-PALSAR2-HV,A_JAXA-M_ALOS2-I_PALSAR2-B_HV
